code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00027,GALAXY ENT,2023-09-13 00:00:00,48.65,48.7,49.45,48.35,0.0,0.00087,3808557,191390503.0,0.2057613168724309,48.6
HK.00027,GALAXY ENT,2023-09-14 00:00:00,48.75,48.75,49.05,48.4,0.0,0.00071,3116566,156532305.0,0.10266940451744795,48.7
HK.00027,GALAXY ENT,2023-09-15 00:00:00,48.85,49.0,49.5,48.3,0.0,0.00092,4009201,202993410.0,0.5128205128205128,48.75
HK.00027,GALAXY ENT,2023-09-18 00:00:00,48.85,49.9,50.15,47.9,0.0,0.00127,5551741,282996976.0,1.8367346938775482,49.0
HK.00027,GALAXY ENT,2023-09-19 00:00:00,50.35,49.8,50.35,49.6,0.0,0.00073,3171094,162857566.0,-0.20040080160320925,49.9
HK.00027,GALAXY ENT,2023-09-20 00:00:00,49.6,50.05,50.45,49.6,0.0,0.00092,4020592,207553780.0,0.5020080321285141,49.8
HK.00027,GALAXY ENT,2023-09-21 00:00:00,50.25,49.55,50.4,49.25,0.0,0.00117,5118987,261911307.0,-0.999000999000999,50.05
HK.00027,GALAXY ENT,2023-09-22 00:00:00,49.25,50.0,50.0,49.05,0.0,0.00109,4762573,243615733.0,0.9081735620585325,49.55
HK.00027,GALAXY ENT,2023-09-25 00:00:00,49.8,47.25,50.0,46.8,0.0,0.00309,13507149,660592843.0,-5.5,50.0
HK.00027,GALAXY ENT,2023-09-26 00:00:00,47.5,47.0,47.9,46.7,0.0,0.0015,6559381,318155744.0,-0.5291005291005291,47.25
HK.00027,GALAXY ENT,2023-09-27 00:00:00,46.4,46.7,47.15,46.4,0.0,0.00154,6729427,323036182.0,-0.6382978723404196,47.0
HK.00027,GALAXY ENT,2023-09-28 00:00:00,46.55,43.95,46.65,43.9,0.0,0.00457,19974455,916869649.0,-5.88865096359743,46.7
HK.00027,GALAXY ENT,2023-09-29 00:00:00,44.1,45.85,46.35,43.95,0.0,0.00274,11968425,560212359.0,4.323094425483501,43.95
HK.00027,GALAXY ENT,2023-10-03 00:00:00,45.1,45.15,45.35,44.3,0.0,0.0024,10490828,484920619.0,-1.5267175572519145,45.85
HK.00027,GALAXY ENT,2023-10-04 00:00:00,45.0,43.95,45.05,43.75,0.0,0.00121,5309673,241121789.0,-2.6578073089700904,45.15
HK.00027,GALAXY ENT,2023-10-05 00:00:00,44.05,44.3,45.05,44.05,0.0,0.00109,4765868,217961455.0,0.7963594994311589,43.95
HK.00027,GALAXY ENT,2023-10-06 00:00:00,44.65,44.8,45.15,44.65,0.0,0.0009,3949287,182452802.0,1.1286681715575622,44.3
HK.00027,GALAXY ENT,2023-10-09 00:00:00,44.7,44.05,44.75,43.75,0.0,0.00158,6923067,313686706.0,-1.6741071428571428,44.8
HK.00027,GALAXY ENT,2023-10-10 00:00:00,44.7,44.85,45.25,44.45,0.0,0.0014,6124948,283086829.0,1.8161180476731085,44.05
HK.00027,GALAXY ENT,2023-10-11 00:00:00,45.45,44.5,45.45,44.4,0.0,0.00105,4601622,211971561.0,-0.7803790412486096,44.85
HK.00027,GALAXY ENT,2023-10-12 00:00:00,44.85,44.95,45.1,44.25,0.0,0.00166,7279315,335056581.0,1.0112359550561862,44.5
HK.00027,GALAXY ENT,2023-10-13 00:00:00,44.25,43.85,44.65,43.45,0.0,0.0012,5265449,237797860.0,-2.447163515016688,44.95
HK.00027,GALAXY ENT,2023-10-16 00:00:00,43.7,42.5,44.0,41.95,0.0,0.00169,7397095,323502095.0,-3.078677309007985,43.85
HK.00027,GALAXY ENT,2023-10-17 00:00:00,42.85,42.5,43.2,41.9,0.0,0.00179,7831413,342654917.0,0.0,42.5
HK.00027,GALAXY ENT,2023-10-18 00:00:00,42.4,42.2,42.45,41.65,0.0,0.00208,9078243,393604324.0,-0.7058823529411699,42.5
HK.00027,GALAXY ENT,2023-10-19 00:00:00,41.7,42.0,42.5,41.5,0.0,0.00208,9089720,394362269.0,-0.47393364928910625,42.2
HK.00027,GALAXY ENT,2023-10-20 00:00:00,41.6,42.4,42.5,41.45,0.0,0.00151,6586274,286158257.0,0.952380952380949,42.0
HK.00027,GALAXY ENT,2023-10-24 00:00:00,42.35,42.15,43.2,40.95,0.0,0.00129,5621976,244393306.0,-0.589622641509434,42.4
